,Gold,Silver,Bronze,Total medals,"Temperature (100-year average, Fahrenheit)",GDP per capita
Norway,48,34,35,117,34.7,90233
Germany,34,30,20,84,47.8,60136
USA,29,28,22,79,48,92786
Canada,20,23,33,76,23.4,58264
Netherlands,26,18,13,57,49.5,73105
Italy,15,15,27,57,54.4,43020
Japan,12,18,25,55,51.7,37388
Switzerland,18,17,17,52,42.1,116005
France,18,20,14,52,51.5,51113
Sweden,23,17,10,50,36.4,61700
Austria,17,18,15,50,43.7,6368
Russian athletes,8,18,23,49,23.4,15495
China,15,14,10,39,44.6,14793
South Korea,10,17,9,36,52.6,39321
Finland,3,4,13,20,35,59579
Slovenia,4,5,4,13,48,38218
Australia,4,6,3,13,70.9,70112
Czechia,4,4,4,12,45.9,34712
Great Britain,5,2,5,12,47.7,56144
New Zealand,2,3,3,8,50.2,49472
Poland,1,3,3,7,46.5,26537
Spain,1,1,4,6,55.9,38707
Belarus,2,3,0,5,43.8,8878
Slovakia,2,2,1,5,46.7,29706
Belgium,2,2,1,5,49.7,60002
Latvia,0,1,3,4,42.7,27203
Hungary,2,0,2,4,51.3,27351
Estonia,0,1,1,2,41.7,34931
Kazakhstan,1,0,1,2,43.1,15874
Ukraine,1,1,0,2,47.2,6067
Bulgaria,0,0,2,2,51.3,19623
Denmark,0,1,0,1,46.7,74303
Georgia,0,1,0,1,47.3,10342
Brazil,1,0,0,1,76.9,11423
Mongolia,0,0,0,0,32,7997
Iceland,0,0,0,0,34.4,94821
Kyrgyzstan,0,0,0,0,35.2,2507
Lithuania,0,0,0,0,43.7,32218
Armenia,0,0,0,0,45.1,9247
Chile,0,0,0,0,48.5,18657
Luxembourg,0,0,0,0,48.5,145410
Ireland,0,0,0,0,48.9,110906
Romania,0,0,0,0,49,23066
Bosnia and Herzegovina,0,0,0,0,49.1,9167
Moldova,0,0,0,0,50.2,9105
Macedonia,0,0,0,0,50.4,10184
Serbia,0,0,0,0,51.2,14572
Croatia,0,0,0,0,51.8,26568
Turkey,0,0,0,0,52.1,17049
Albania,0,0,0,0,53.4,11211
Azerbaijan,0,0,0,0,54.2,7661
Uzbekistan,0,0,0,0,55.1,3669
Greece,0,0,0,0,56.9,26688
Argentina,0,0,0,0,58.7,12706
Portugal,0,0,0,0,59.3,32354
Morocco,0,0,0,0,63.6,4746
South Africa,0,0,0,0,63.6,6643
Cyprus,0,0,0,0,64.9,42499
Malta,0,0,0,0,65.8,48644
Israel,0,0,0,0,66.8,56631
Bolivia,0,0,0,0,69.4,4310
Mexico,0,0,0,0,69.4,14175
Ecuador,0,0,0,0,70.2,7108
Madagascar,0,0,0,0,72.2,607
India,0,0,0,0,76.2,3210
Kenya,0,0,0,0,76.2,2185
Colombia,0,0,0,0,76.4,8234
Jamaica,0,0,0,0,77.7,8102
Philippines,0,0,0,0,78.6,4758
Malaysia,0,0,0,0,78.8,15256
Thailand,0,0,0,0,79.7,8093
Nigeria,0,0,0,0,80.6,940
Togo,0,0,0,0,80.7,1159
Singapore,0,0,0,0,80.9,97632
Ghana,0,0,0,0,81.2,2284
