,Gold,Silver,Bronze,23.4,"Temperature (100-year average, Fahrenheit)"
Norway,48,34,35,117,34.7
Germany,34,30,20,84,47.8
USA,29,28,22,79,48
Canada,20,23,33,76,23.4
Netherlands,26,18,13,57,49.5
Italy,15,15,27,57,54.4
Japan,12,18,25,55,51.7
Switzerland,18,17,17,52,42.1
France,18,20,14,52,51.5
Sweden,23,17,10,50,36.4
Austria,17,18,15,50,43.7
Russian athletes,8,18,23,49,23.4
China,15,14,10,39,44.6
South Korea,10,17,9,36,52.6
Finland,3,4,13,20,35
Slovenia,4,5,4,13,48
Australia,4,6,3,13,70.9
Czechia,4,4,4,12,45.9
Great Britain,5,2,5,12,47.7
New Zealand,2,3,3,8,50.2
Poland,1,3,3,7,46.5
Spain,1,1,4,6,55.9
Belarus,2,3,0,5,43.8
Slovakia,2,2,1,5,46.7
Belgium,2,2,1,5,49.7
Latvia,0,1,3,4,42.7
Hungary,2,0,2,4,51.3
Estonia,0,1,1,2,41.7
Kazakhstan,1,0,1,2,43.1
Ukraine,1,1,0,2,47.2
Bulgaria,0,0,2,2,51.3
Denmark,0,1,0,1,46.7
Georgia,0,1,0,1,47.3
Brazil,1,0,0,1,76.9
Mongolia,0,0,0,0,32
Iceland,0,0,0,0,34.4
Kyrgyzstan,0,0,0,0,35.2
Lithuania,0,0,0,0,43.7
Armenia,0,0,0,0,45.1
Chile,0,0,0,0,48.5
Luxembourg,0,0,0,0,48.5
Ireland,0,0,0,0,48.9
Romania,0,0,0,0,49
Bosnia and Herzegovina,0,0,0,0,49.1
Moldova,0,0,0,0,50.2
Macedonia,0,0,0,0,50.4
Serbia,0,0,0,0,51.2
Croatia,0,0,0,0,51.8
Turkey,0,0,0,0,52.1
Albania,0,0,0,0,53.4
Azerbaijan,0,0,0,0,54.2
Uzbekistan,0,0,0,0,55.1
Greece,0,0,0,0,56.9
Lebanon,0,0,0,0,58.3
Argentina,0,0,0,0,58.7
Portugal,0,0,0,0,59.3
Morocco,0,0,0,0,63.6
South Africa,0,0,0,0,63.6
Cyprus,0,0,0,0,64.9
Malta,0,0,0,0,65.8
Israel,0,0,0,0,66.8
Bolivia,0,0,0,0,69.4
Mexico,0,0,0,0,69.4
Pakistan,0,0,0,0,69.6
Ecuador,0,0,0,0,70.2
Madagascar,0,0,0,0,72.2
India,0,0,0,0,76.2
Kenya,0,0,0,0,76.2
Colombia,0,0,0,0,76.4
Jamaica,0,0,0,0,77.7
Philippines,0,0,0,0,78.6
Malaysia,0,0,0,0,78.8
Thailand,0,0,0,0,79.7
Nigeria,0,0,0,0,80.6
Togo,0,0,0,0,80.7
Singapore,0,0,0,0,80.9
Ghana,0,0,0,0,81.2
